action_id,title,tier,status,risk_tier,requires_admin,requires_runtime_input,mutation_capable,dry_run_default,requires_apply_for_change,script_path,script_sha256
ENDUSER_GET_DOMAIN_JOIN_SUMMARY_V1,Enduser Get Domain Join Summary V1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,False,False,packs/windows/end-user/no-input-v2/scripts/checks/28-Get-DomainJoinSummary.ps1,831edd51b63c942d46423bd1b840de857862c2a259eacb60f4d876c5017a9b23
ENDUSER_CHECK_TIME_SERVICE_STATUS_V1,Enduser Check Time Service Status V1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,False,False,packs/windows/end-user/no-input-v2/scripts/checks/29-Check-TimeServiceStatus.ps1,62742460fa77b12f22d550e2b25678eedf39671a2b5c13c962d799768a2d73c3
ENDUSER_CHECK_DNS_CLIENT_SERVICE_STATUS_V1,Enduser Check Dns Client Service Status V1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,False,False,packs/windows/end-user/no-input-v2/scripts/checks/30-Check-DnsClientServiceStatus.ps1,8582d008f9cfce1ecc9cd5e1d2990d642224acb6bb680b69463a3a17d775f4e9
ENDUSER_CHECK_WORKSTATION_SERVICE_STATUS_V1,Enduser Check Workstation Service Status V1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,False,False,packs/windows/end-user/no-input-v2/scripts/checks/31-Check-WorkstationServiceStatus.ps1,f1814ff8242a9c5cd1555773139035433feb1bf2edd253ec347138cfe1c1bd2c
ENDUSER_CHECK_WEBCLIENT_SERVICE_STATUS_V1,Enduser Check Webclient Service Status V1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,False,False,packs/windows/end-user/no-input-v2/scripts/checks/32-Check-WebClientServiceStatus.ps1,c957b609593627ee89093fe3e2e93e36498fada3b00f3e952e4289d68c3173d0
ENDUSER_CHECK_OFFLINE_FILES_SERVICE_STATUS_V1,Enduser Check Offline Files Service Status V1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,False,False,packs/windows/end-user/no-input-v2/scripts/checks/33-Check-OfflineFilesServiceStatus.ps1,d44b0716aada797397b3ee527e0fed8f5f276d0ebfb94030c009af43751211e9
ENDUSER_CHECK_WINDOWS_SEARCH_SERVICE_STATUS_V1,Enduser Check Windows Search Service Status V1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,False,False,packs/windows/end-user/no-input-v2/scripts/checks/34-Check-WindowsSearchServiceStatus.ps1,f59d275580462895f826b8d25d2b19d9cbf5906dfaf453d848dc8425b8ac8adf
ENDUSER_GET_ONEDRIVE_NO_PATH_SUMMARY_V1,Enduser Get Onedrive No Path Summary V1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,False,False,packs/windows/end-user/no-input-v2/scripts/checks/35-Get-OneDriveNoPathSummary.ps1,e2bf9977b42109524cbf15604731c072e43958e90f893d426a148a9cba885d34
ENDUSER_GET_KNOWN_FOLDERS_NO_PATH_SUMMARY_V1,Enduser Get Known Folders No Path Summary V1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,False,False,packs/windows/end-user/no-input-v2/scripts/checks/36-Get-KnownFoldersNoPathSummary.ps1,87c490ceaef8925bcbff71f4c3bce48b0422c1ddd856db8ce3c8a9e42ec6e553
ENDUSER_TEST_DOCUMENTS_FOLDER_LISTABLE_V1,Enduser Test Documents Folder Listable V1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,False,False,packs/windows/end-user/no-input-v2/scripts/checks/37-Test-DocumentsFolderListable.ps1,a0535e9305c33d499641803605821841eb7a1a6ac8717cffacc859b5bd81df98
